Date,Close,High,Low,Open,Volume,RSI_6,RSI_14,RSI_23,Stoch_K,Stoch_D,HV_20,VIX,VIX_chg_5d,VIX_vs_ma20,SOX_RS_5d,SOX_RS_20d,Days_to_earnings,price_vs_ma20,price_vs_ma50,price_vs_ma200,price_vs_ema8,price_vs_ema21,price_vs_ema89,price_vs_kc_upper,price_vs_kc_mid,price_vs_kc_lower,MACD_norm,MACD_signal_norm,MACD_hist_norm,OBV_chg_5d,target
2022-05-04,20.297046661376957,20.36292670436252,18.716923264105464,19.886794272202145,648855000,53.70553142067249,43.84825979320804,43.54915000647744,45.5538437442026,34.16541714580995,0.6666112332292762,25.420000076293945,-0.19556962754974327,-0.013294521568372186,0.01132830233474702,-0.18341510756271995,45,-0.028661505709036805,-0.12724207791953335,-0.1675979395431333,0.027489220259155678,-0.03661497351080012,-0.14512641211047106,-0.09641900684993099,-0.043587387497007524,0.01580592931798841,-0.06777909107331813,-0.06808495142150131,0.00030586034818316977,0.05032854276662757,0
2022-05-05,18.809757232666016,19.888792254376693,18.466382474012576,19.83089899019697,626331000,38.64408586302075,38.34262482670201,40.19995109395004,12.648493043954344,29.147468109346296,0.6836325467953748,31.200000762939453,0.04034681564041165,0.19004483696989083,-0.030785695069441843,-0.1689303940275806,45,-0.0877159546673073,-0.18872968813750868,-0.22850521738804241,-0.03757790845048048,-0.09842115782361782,-0.20409349915101127,-0.14941708909195006,-0.09900467076123032,-0.04224007637421623,-0.07327526998809869,-0.07342980239426038,0.00015453240616167773,0.015976421833672205,0
2022-05-06,18.64105987548828,19.47653863115754,17.957305306226015,18.701949838466604,633297000,37.22321202457574,37.763430942828805,39.83665389106681,14.63673611355063,24.27969096723588,0.6835630288795166,30.190000534057617,-0.09610780973570088,0.13285428330399807,-0.014443097427237372,-0.16120073977186766,45,-0.08362458130523098,-0.1924811876553979,-0.23528202842498203,-0.03631361540013478,-0.0977712718468412,-0.2075117037916535,-0.14673963402947432,-0.09504351765032093,-0.03667921852711575,-0.0739259230380419,-0.07406064494749408,0.0001347219094521694,0.012426062034973873,0
2022-05-09,16.9191951751709,18.22182181837429,16.79641762349791,18.00122470604806,644455000,25.66509026207004,32.38599974657231,36.33290810266042,2.105100666241039,9.796776607915357,0.7379082996446475,34.75,0.07452071230801338,0.27154303637378496,-0.06833173830829242,-0.17355338504733564,45,-0.1554875308319641,-0.26247713059364974,-0.3055491041836892,-0.10027058379263676,-0.1674013227597816,-0.2761982924639004,-0.21425813286945972,-0.16555581581860723,-0.11041716659028833,-0.08862878918370018,-0.08300398898615147,-0.005624800197548695,-0.02180828499790244,1
2022-05-10,17.563020706176758,18.16492540380209,16.994056975947228,17.656849725721745,761474000,34.755211304817536,36.05273255357042,38.44911612928257,13.80050384676112,10.18078020885095,0.7463863443897145,32.9900016784668,0.12786330524672818,0.18840062295132443,-0.054845774860674656,-0.1464767363117766,45,-0.11380978637190786,-0.22986433704573705,-0.2788735404908774,-0.05212403574801583,-0.12492172138177793,-0.24448073601167375,-0.17442615774995174,-0.1219421768877138,-0.0623320690776904,-0.08690127114076303,-0.08134923603231486,-0.005552035108448146,-0.013632837137055098,0
2022-05-11,16.59977912902832,17.7207395102495,16.537893425141622,17.315477156303142,670167000,28.49848813094401,33.15570510272053,36.5489547535759,1.5823989332959365,5.829334482099384,0.7633311001185661,32.560001373291016,0.2808812460884158,0.15563446077911114,-0.0709463239899687,-0.14936830068350493,45,-0.15200430902922557,-0.2677156654949402,-0.31806462359068755,-0.08289233950953068,-0.15970621796768925,-0.28135100180073125,-0.21185598665299343,-0.16015615855196974,-0.10119747151981717,-0.09678627265341858,-0.08821302933403623,-0.00857324331938235,-0.049170897387267876,1
2022-05-12,16.145601272583008,16.75748801691552,15.538707458895326,16.189521927319188,708728000,25.864008618925297,31.855895730240377,35.67975053408692,12.580145777120636,9.321016185725917,0.7460441114342731,31.770000457763672,0.01826922054121516,0.10803034241226395,-0.08230625757330134,-0.17784953289362093,45,-0.16233177553409428,-0.2826689787456378,-0.33627105150787306,-0.08605319693263058,-0.16889335231045444,-0.2963064399811163,-0.2231065009153007,-0.1718618854326195,-0.11337958055136088,-0.10451946268790945,-0.0934594711636473,-0.011059991524262146,-0.05229431467547774,1
2022-05-13,17.673824310302734,17.895421017236522,16.562847872141287,16.757493216581477,670437000,46.01472041273978,40.332206028575264,40.645306409695245,44.258288082855096,19.473610931090576,0.8272492034531349,28.8700008392334,-0.043723076232977,-0.003830081176502631,-0.04796728049845733,-0.1479863167289086,45,-0.0745323038915372,-0.21056493933164055,-0.2731570673929231,0.000353260956563739,-0.08270286838251317,-0.22574789213357382,-0.14101815133948348,-0.08309582701298801,-0.01679710729147388,-0.09108222263696988,-0.08651900678269896,-0.00456321585427094,-0.016610086381357525,1
2022-05-16,17.23262596130371,17.75567386028926,17.074914055272394,17.477181558942796,521446000,42.054643422824014,38.83050520070121,39.71979986103652,35.11280097810606,30.650411612693954,0.8192928367460199,27.469999313354492,-0.20949642263728085,-0.06072628901501198,-0.01362639340228955,-0.15393196030180256,45,-0.08685072980842223,-0.22635898198069726,-0.29097759464317363,-0.019253393594860113,-0.09693211146239966,-0.24094191096187811,-0.1521216825386783,-0.09629838487017606,-0.032606339489169134,-0.09085671237687222,-0.08915863037046334,-0.001698082006408871,-0.013397967809468114,1
2022-05-17,18.14396476745605,18.33761243130052,17.60195235864929,18.041151322209387,585830000,52.24236146738095,43.50935043610186,42.54499283472445,54.00370870392371,44.45826592162831,0.8432700999663937,26.100000381469727,-0.20885119570922317,-0.11472907451366499,-0.02428875194708091,-0.15363741795828978,45,-0.028225244079203238,-0.18312086381249304,-0.2532415090394643,0.025183079452112178,-0.044904208113018096,-0.19721731765038464,-0.09914693829637067,-0.03991669463669856,0.02765035189658782,-0.07939988382252607,-0.08362425859433599,0.00422437477180992,-0.01802904744870848,0
