series,date,release_id,release_name,tier
Claims,2024-04-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-04-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-05-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-05-09,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-05-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-05-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-05-30,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-06-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-06-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-06-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-06-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-07-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-07-11,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-07-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-07-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-08-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-08-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-08-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-08-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-08-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-09-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-09-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-09-19,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-09-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-10-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-10-10,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-10-17,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-10-24,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-10-31,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-11-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-11-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-11-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-11-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-12-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-12-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-12-19,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-12-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-01-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-01-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-01-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-01-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-01-30,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-02-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-02-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-02-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-02-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-03-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-03-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-03-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-03-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-04-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-04-10,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-04-17,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-04-24,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-05-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-05-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-05-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-05-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-05-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-06-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-06-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-06-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-06-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-07-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-07-10,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-07-17,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-07-24,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-07-31,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-08-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-08-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-08-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-08-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-09-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-09-11,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-09-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-09-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-11-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-11-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-12-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2025-12-11,180,Unemployment Insurance Weekly Claims Report,2
